iter	Passed	Remaining
414	3069	4326
415	3076	4318
416	3082	4310
417	3089	4301
418	3096	4294
419	3103	4286
420	3110	4277
421	3117	4269
422	3123	4261
423	3131	4254
424	3137	4245
425	3144	4237
426	3151	4229
427	3158	4221
428	3165	4213
429	3172	4204
430	3179	4197
431	3186	4189
432	3193	4182
433	3201	4174
434	3208	4167
435	3215	4159
436	3222	4151
437	3229	4143
438	3236	4135
439	3243	4127
440	3250	4119
441	3256	4111
442	3263	4103
443	3270	4095
444	3277	4087
445	3284	4079
446	3291	4071
447	3297	4063
448	3304	4055
449	3310	4046
450	3317	4038
451	3324	4030
452	3331	4022
453	3337	4014
454	3344	4006
455	3351	3997
456	3357	3989
457	3364	3981
458	3371	3973
459	3377	3965
460	3384	3957
461	3391	3949
462	3397	3940
463	3404	3932
464	3411	3924
465	3418	3916
466	3424	3908
467	3431	3900
468	3437	3892
469	3444	3883
470	3450	3875
471	3457	3867
472	3463	3859
473	3470	3851
474	3477	3843
475	3484	3836
476	3491	3828
477	3498	3820
478	3504	3812
479	3511	3804
480	3518	3796
481	3526	3789
482	3532	3781
483	3539	3773
484	3546	3766
485	3553	3757
486	3560	3750
487	3566	3742
488	3573	3734
489	3579	3726
490	3586	3717
491	3593	3710
492	3599	3702
493	3606	3694
494	3613	3686
495	3619	3677
496	3626	3670
497	3633	3662
498	3640	3655
499	3647	3647
500	3654	3640
501	3661	3632
502	3669	3625
503	3676	3617
504	3682	3609
505	3689	3602
506	3696	3594
507	3703	3586
508	3709	3578
509	3717	3571
510	3724	3563
511	3731	3556
512	3738	3549
513	3746	3542
514	3753	3534
515	3760	3526
516	3766	3519
517	3773	3511
518	3780	3503
519	3787	3495
520	3794	3488
521	3801	3480
522	3807	3472
523	3813	3464
524	3820	3457
525	3827	3449
526	3834	3441
527	3841	3434
528	3848	3426
529	3855	3418
530	3862	3411
531	3869	3403
532	3875	3395
533	3882	3387
534	3888	3379
535	3895	3372
536	3902	3364
537	3908	3356
538	3915	3349
539	3922	3341
540	3929	3333
541	3936	3326
542	3942	3318
543	3950	3311
544	3956	3303
545	3964	3296
546	3971	3288
547	3978	3281
548	3985	3273
549	3992	3266
550	3999	3258
551	4005	3251
552	4012	3243
553	4019	3236
554	4026	3228
555	4033	3220
556	4040	3213
557	4047	3205
558	4054	3198
559	4061	3190
560	4067	3183
561	4074	3175
562	4083	3169
563	4094	3164
564	4105	3160
565	4116	3156
566	4126	3151
567	4134	3144
568	4141	3137
569	4148	3129
570	4155	3121
571	4161	3114
572	4168	3106
573	4176	3099
574	4182	3091
575	4189	3084
576	4197	3076
577	4203	3069
578	4210	3061
579	4217	3053
580	4223	3046
581	4230	3038
582	4237	3030
583	4243	3023
584	4250	3015
585	4257	3008
586	4264	3000
587	4271	2993
588	4278	2985
589	4285	2978
590	4292	2970
591	4300	2963
592	4307	2956
593	4313	2948
594	4321	2941
595	4327	2933
596	4334	2926
597	4341	2918
598	4348	2911
599	4355	2903
600	4362	2895
601	4369	2888
602	4376	2881
603	4383	2873
604	4390	2866
605	4398	2859
606	4405	2852
607	4412	2844
608	4419	2837
609	4427	2830
610	4435	2823
611	4442	2816
612	4449	2809
613	4456	2801
614	4463	2794
615	4470	2786
616	4477	2779
617	4484	2772
618	4491	2764
619	4499	2757
620	4506	2750
621	4513	2742
622	4519	2735
623	4527	2727
624	4533	2720
625	4540	2712
626	4547	2705
627	4555	2698
628	4562	2691
629	4569	2683
630	4576	2676
631	4582	2668
632	4589	2661
633	4596	2653
634	4603	2646
635	4610	2638
636	4617	2631
637	4624	2624
638	4631	2616
639	4639	2609
640	4646	2602
641	4653	2595
642	4660	2587
643	4667	2580
644	4674	2572
645	4681	2565
646	4688	2558
647	4695	2550
648	4702	2543
649	4709	2535
650	4716	2528
651	4723	2520
652	4729	2513
653	4737	2506
654	4743	2498
655	4751	2491
656	4757	2484
657	4764	2476
658	4771	2468
659	4777	2461
660	4783	2453
661	4790	2445
662	4796	2438
663	4803	2430
664	4810	2423
665	4817	2415
666	4823	2408
667	4830	2400
668	4837	2393
669	4844	2386
670	4850	2378
671	4857	2370
672	4864	2363
673	4871	2356
674	4878	2348
675	4885	2341
676	4892	2334
677	4899	2326
678	4906	2319
679	4912	2311
680	4919	2304
681	4926	2297
682	4933	2289
683	4941	2282
684	4948	2275
685	4956	2268
686	4963	2261
687	4969	2253
688	4976	2246
689	4983	2239
690	4990	2231
691	4997	2224
692	5004	2216
693	5010	2209
694	5017	2202
695	5024	2194
696	5031	2187
697	5038	2179
698	5044	2172
699	5052	2165
700	5058	2157
701	5065	2150
702	5073	2143
703	5080	2136
704	5087	2128
705	5094	2121
706	5101	2114
707	5107	2106
708	5115	2099
709	5121	2091
710	5128	2084
711	5135	2077
712	5142	2069
713	5149	2062
714	5155	2055
715	5163	2047
716	5170	2040
717	5176	2033
718	5183	2025
719	5190	2018
720	5197	2011
721	5204	2003
722	5211	1996
723	5218	1989
724	5225	1981
725	5231	1974
726	5238	1967
727	5246	1960
728	5253	1952
729	5260	1945
730	5267	1938
731	5274	1931
732	5282	1924
733	5289	1916
734	5296	1909
735	5303	1902
736	5310	1895
737	5317	1887
738	5324	1880
739	5331	1873
740	5338	1865
741	5345	1858
742	5352	1851
743	5359	1844
744	5365	1836
745	5373	1829
746	5382	1823
747	5392	1816
748	5402	1810
749	5413	1804
750	5421	1797
751	5429	1790
752	5436	1783
753	5444	1776
754	5451	1768
755	5458	1761
756	5464	1754
757	5472	1747
758	5479	1739
759	5486	1732
760	5493	1725
761	5499	1717
762	5506	1710
763	5513	1703
764	5520	1695
765	5527	1688
766	5534	1681
767	5541	1673
768	5547	1666
769	5554	1659
770	5561	1651
771	5568	1644
772	5575	1637
773	5582	1629
774	5589	1622
775	5595	1615
776	5602	1608
777	5609	1600
778	5616	1593
779	5623	1586
780	5629	1578
781	5636	1571
782	5643	1564
783	5650	1556
784	5657	1549
785	5664	1542
786	5671	1534
787	5678	1527
788	5685	1520
789	5691	1513
790	5698	1505
791	5705	1498
792	5712	1491
793	5719	1483
794	5725	1476
795	5732	1469
796	5739	1462
797	5747	1454
798	5753	1447
799	5760	1440
800	5768	1433
801	5775	1425
802	5782	1418
803	5789	1411
804	5796	1404
805	5803	1396
806	5810	1389
807	5817	1382
808	5823	1375
809	5830	1367
810	5837	1360
811	5844	1353
812	5851	1345
813	5858	1338
814	5865	1331
815	5872	1324
816	5879	1316
817	5885	1309
818	5892	1302
819	5898	1294
820	5905	1287
821	5912	1280
822	5919	1273
823	5927	1266
824	5934	1258
825	5942	1251
826	5950	1244
827	5960	1238
828	5966	1230
829	5974	1223
830	5981	1216
831	5988	1209
832	5996	1202
833	6004	1195
834	6011	1187
835	6019	1180
836	6026	1173
837	6033	1166
838	6039	1159
839	6046	1151
840	6054	1144
841	6061	1137
842	6068	1130
843	6075	1122
844	6083	1115
845	6090	1108
846	6097	1101
847	6104	1094
848	6111	1086
849	6120	1080
850	6127	1072
851	6135	1065
852	6142	1058
853	6149	1051
854	6156	1044
855	6163	1036
856	6171	1029
857	6178	1022
858	6185	1015
859	6192	1008
860	6199	1000
861	6206	993
862	6214	986
863	6221	979
864	6228	972
865	6235	964
866	6242	957
867	6250	950
868	6257	943
869	6265	936
870	6271	928
871	6278	921
872	6285	914
873	6292	907
874	6299	899
875	6306	892
876	6313	885
877	6319	878
878	6326	870
879	6333	863
880	6340	856
881	6347	849
882	6355	842
883	6362	834
884	6369	827
885	6376	820
886	6383	813
887	6390	806
888	6397	798
889	6404	791
890	6411	784
891	6418	777
892	6425	769
893	6432	762
894	6439	755
895	6447	748
896	6454	741
897	6461	733
898	6469	726
899	6476	719
900	6483	712
901	6490	705
902	6498	698
903	6505	690
904	6512	683
905	6520	676
906	6527	669
907	6534	662
908	6542	654
909	6549	647
910	6556	640
911	6564	633
912	6572	626
913	6579	619
914	6587	611
915	6595	604
916	6602	597
917	6609	590
918	6616	583
919	6622	575
920	6629	568
921	6637	561
922	6644	554
923	6651	547
924	6659	539
925	6665	532
926	6673	525
927	6680	518
928	6687	511
929	6694	503
930	6701	496
931	6708	489
932	6716	482
933	6722	475
934	6729	467
935	6736	460
936	6743	453
937	6750	446
938	6757	439
939	6764	431
940	6772	424
941	6779	417
942	6786	410
943	6793	402
944	6800	395
945	6807	388
946	6814	381
947	6821	374
948	6828	366
949	6835	359
950	6842	352
951	6849	345
952	6857	338
953	6864	330
954	6871	323
955	6877	316
956	6884	309
957	6891	302
958	6898	294
959	6905	287
960	6913	280
961	6920	273
962	6927	266
963	6933	258
964	6940	251
965	6947	244
966	6954	237
967	6961	230
968	6968	222
969	6975	215
970	6983	208
971	6990	201
972	6997	194
973	7005	187
974	7012	179
975	7019	172
976	7027	165
977	7034	158
978	7041	151
979	7049	143
980	7057	136
981	7064	129
982	7071	122
983	7078	115
984	7085	107
985	7092	100
986	7100	93
987	7108	86
988	7115	79
989	7122	71
990	7128	64
991	7136	57
992	7142	50
993	7149	43
994	7156	35
995	7163	28
996	7170	21
997	7176	14
998	7183	7
999	7190	0
